iter	RMSE
0	0.6884813814
1	0.6629188461
2	0.6397968418
3	0.6197052638
4	0.6022100378
5	0.5867608681
6	0.571692324
7	0.5592553364
8	0.5475392251
9	0.5373709883
10	0.5274210593
11	0.5182308346
12	0.5107778529
13	0.5038524827
14	0.4975682949
15	0.4914022842
16	0.4865002552
17	0.4820088443
18	0.4773000912
19	0.4738850988
20	0.4709054312
21	0.4677859384
22	0.4651151169
23	0.4616130652
24	0.4584729335
25	0.4557956055
26	0.4538254947
27	0.4519140246
28	0.4492912975
29	0.4480353522
30	0.4466333715
31	0.4453054827
32	0.4438932713
33	0.442930452
34	0.4415530559
35	0.4405059393
36	0.439372644
37	0.4380111134
38	0.4370098457
39	0.4359000927
40	0.4345110567
41	0.4335870912
42	0.4322665532
43	0.431209315
44	0.4303615201
45	0.4296052609
46	0.4288380243
47	0.4280186965
48	0.4271208407
49	0.4264521203
50	0.4259633097
51	0.4250963763
52	0.4242221701
53	0.4234103243
54	0.4224533176
55	0.421917159
56	0.4212804675
57	0.420949195
58	0.4203826828
59	0.4196558794
60	0.4191218322
61	0.4187250302
62	0.418207076
63	0.4178477406
64	0.4174538771
65	0.4169620923
66	0.4164332466
67	0.4160187436
68	0.4157019988
69	0.4153227278
70	0.4149578455
71	0.4146416283
72	0.4142651022
73	0.4140105496
74	0.4135264026
75	0.4132677384
76	0.4129269834
77	0.4126222137
78	0.4124130373
79	0.4121803741
80	0.4118127746
81	0.4114988848
82	0.4111311654
83	0.4109134109
84	0.4105059939
85	0.4101205598
86	0.4098293081
87	0.4095535243
88	0.4091930203
89	0.408973835
90	0.4085162309
91	0.4081059606
92	0.4079328466
93	0.4077344171
94	0.4075333272
95	0.4073528839
96	0.4071475705
97	0.4068562405
98	0.4065175253
99	0.406394533
100	0.4061040853
101	0.4058503126
102	0.405707127
103	0.4055330568
104	0.4053133205
105	0.4051674013
106	0.405011286
107	0.4048461468
108	0.4045915107
109	0.4043317391
110	0.4040886918
111	0.4039343571
112	0.4037406057
113	0.403508408
114	0.4032970858
115	0.4030811427
116	0.4029656626
117	0.4027055143
118	0.4024936715
119	0.4023875852
120	0.4021614817
121	0.4019023076
122	0.4017896936
123	0.4015807103
124	0.4015086677
125	0.4014015105
126	0.4012112117
127	0.4010637381
128	0.4009516184
129	0.4008345006
130	0.4006861733
131	0.4004409161
132	0.4001562284
133	0.4000464409
134	0.3999010998
135	0.3998019865
136	0.3997302935
137	0.3996459422
138	0.3995451593
139	0.3994333023
140	0.3992897977
141	0.3990963999
142	0.3988850505
143	0.3987435237
144	0.3986544167
145	0.3984526217
146	0.3982533489
147	0.3981141881
148	0.3978865697
149	0.3975310901
150	0.3973712214
151	0.397097506
152	0.3970143434
153	0.3967986198
154	0.396641426
155	0.3964736239
156	0.3962766144
157	0.3960651896
158	0.395847014
159	0.3956752216
160	0.3955492362
161	0.3953648706
162	0.3951927036
163	0.3950778478
164	0.394958419
165	0.3948379176
166	0.3946553976
167	0.3944774691
168	0.3943022239
169	0.3941639754
170	0.3940629428
171	0.3939888314
172	0.3938816024
173	0.3937429672
174	0.3936234142
175	0.3935217198
176	0.3933510794
177	0.3932323822
178	0.3930784704
179	0.3929735232
180	0.3928235797
181	0.3926716638
182	0.3925097139
183	0.3923898395
184	0.3922581843
185	0.3921714743
186	0.392020799
187	0.3918149001
188	0.3916585627
189	0.391481423
190	0.3914056031
191	0.3912805575
192	0.3911282999
193	0.3910281417
194	0.3909055103
195	0.3908317238
196	0.3907249069
197	0.39060357
198	0.3904990244
199	0.3903735655
200	0.3902644185
201	0.3901656179
202	0.3900325377
203	0.3899030833
204	0.3897601346
205	0.3896386429
206	0.38956121
207	0.3894428953
208	0.3893023665
209	0.3892315148
210	0.3890932912
211	0.3889727235
212	0.3888080316
213	0.388663603
214	0.3885392524
215	0.3884435036
216	0.3883754836
217	0.3882930019
218	0.3881560623
219	0.3880968153
220	0.3879665923
221	0.3878863613
222	0.3878148821
223	0.3877237931
224	0.3876418645
225	0.3875306263
226	0.3874504275
227	0.3873421163
228	0.3872726298
229	0.3871639464
230	0.3871191135
231	0.3870085636
232	0.3869471537
233	0.3868440655
234	0.3867950901
235	0.3866959949
236	0.3865925938
237	0.3865088934
238	0.3864080449
239	0.3863205073
240	0.3862568342
241	0.3861785928
242	0.3861072505
243	0.3860677115
244	0.3860198517
245	0.3859325387
246	0.3858154669
247	0.3857125541
248	0.3856661921
249	0.3855686626
250	0.3855019528
251	0.3854353584
252	0.3853291308
253	0.3852375669
254	0.3851447314
255	0.3850718813
256	0.384964672
257	0.384846872
258	0.3847521872
259	0.3846832999
260	0.3845951612
261	0.3844649634
262	0.3843814977
263	0.3842970158
264	0.384230788
265	0.3841577313
266	0.3840765144
267	0.3840018614
268	0.3839254437
269	0.3838583258
270	0.3838069609
271	0.3837318092
272	0.3836571225
273	0.3835801945
274	0.383498462
275	0.3834401994
276	0.3834055171
277	0.3833258035
278	0.3832719305
279	0.3832020351
280	0.3831492364
281	0.3829973599
282	0.3829365182
283	0.3827627677
284	0.3827095813
285	0.382651091
286	0.382565213
287	0.3824843347
288	0.3824267957
289	0.382358355
290	0.3823042217
291	0.3822497816
292	0.3822147196
293	0.3821575073
294	0.3821034851
295	0.382057537
296	0.3819889206
297	0.3819302662
298	0.3818595891
299	0.3817855491
300	0.3817170738
301	0.3816406487
302	0.381605243
303	0.381559224
304	0.381508692
305	0.3814044172
306	0.3813505341
307	0.3813085452
308	0.3812526522
309	0.3811975634
310	0.3811316052
311	0.3810832347
312	0.3810338482
313	0.3809703843
314	0.3808753047
315	0.380813955
316	0.3807559794
317	0.3807003141
318	0.3806148663
319	0.3805354807
320	0.3804865147
321	0.3804260393
322	0.3803688059
323	0.3803048951
324	0.3802205269
325	0.3801832678
326	0.3801043421
327	0.3800451677
328	0.3800002966
329	0.3799375252
330	0.3798708752
331	0.3798187223
332	0.3797437978
333	0.3796703417
334	0.3795588969
335	0.3795037311
336	0.3794675957
337	0.3793974377
338	0.3793553583
339	0.3792882063
340	0.3792184167
341	0.3791073159
342	0.3790563314
343	0.3789769897
344	0.3789202339
345	0.378851295
346	0.3787862283
347	0.3787249745
348	0.3786711568
349	0.3786221053
350	0.3785607646
351	0.378513441
352	0.3784661424
353	0.3784202216
354	0.3783911411
355	0.3783631258
356	0.3783021711
357	0.3782446842
358	0.3781963928
359	0.3781423557
360	0.378078095
361	0.3779856297
362	0.3779235772
363	0.3778533448
364	0.3778161938
365	0.3777635074
366	0.3777393054
367	0.3776917764
368	0.377580431
369	0.3775183782
370	0.3774636001
371	0.3774348495
372	0.3773733303
373	0.3773210483
374	0.3772668791
375	0.3772233307
376	0.3771738979
377	0.3770891241
378	0.37703038
379	0.376986427
380	0.3769437161
381	0.3768908548
382	0.376820434
383	0.3767437949
384	0.3767134583
385	0.3766620191
386	0.3765942083
387	0.3765210837
388	0.3764686343
389	0.3764213488
390	0.3763841256
391	0.376353443
392	0.3762826325
393	0.3762212601
394	0.3761704862
395	0.3761361911
396	0.3761015026
397	0.3760324904
398	0.3759876604
399	0.3759483712
400	0.3759183188
401	0.3758791597
402	0.3757790585
403	0.3757506692
404	0.3757138364
405	0.3756341068
406	0.3755832886
407	0.3755533706
408	0.3755135259
409	0.3754636928
410	0.375403319
411	0.3753801038
412	0.3753405028
413	0.375274957
414	0.3752416429
415	0.3752081363
416	0.3751408217
417	0.3750905171
418	0.3750356462
419	0.3749871342
420	0.374955662
421	0.3748653575
422	0.3748329848
423	0.3748027122
424	0.3747371882
425	0.3747014055
426	0.3746369803
427	0.3745990184
428	0.3745633272
429	0.3745272152
430	0.3744987705
431	0.3744775659
432	0.3744221563
433	0.374382316
434	0.3743547939
435	0.3743239884
436	0.3742605031
437	0.3741925987
438	0.3741542461
439	0.3740931424
440	0.3740597261
441	0.3740193957
442	0.3739780468
443	0.3739533876
444	0.3739197691
445	0.3738727464
446	0.3738229366
447	0.3737541798
448	0.3737079707
449	0.3736643846
450	0.373616162
451	0.3735889272
452	0.3735530358
453	0.3735064145
454	0.3734861584
455	0.3734358662
456	0.3733844109
457	0.3733408818
458	0.3732861843
459	0.3732519094
460	0.3731786137
461	0.3731532249
462	0.3730572547
463	0.3730110729
464	0.3729574684
465	0.3729132398
466	0.3728479343
467	0.3728162875
468	0.372787156
469	0.3727577489
470	0.372726698
471	0.3727039588
472	0.372670146
473	0.3726298856
474	0.3725709934
475	0.3725293761
476	0.3724750923
477	0.3723926298
478	0.3723405506
479	0.3722908643
480	0.3722277835
481	0.3721587899
482	0.372128195
483	0.3720832323
484	0.3720347814
485	0.3720041788
486	0.371965547
487	0.3719260048
488	0.3718614888
489	0.3718293874
490	0.3718008163
491	0.3717405705
492	0.3716989922
493	0.3716746671
494	0.3716238083
495	0.3715548941
496	0.3715228383
497	0.3714875114
498	0.3714301884
499	0.3713734875
500	0.3713371712
501	0.3713050529
502	0.3712645007
503	0.3712191489
504	0.3711881367
505	0.3710933377
506	0.371041218
507	0.3710120526
508	0.3709862722
509	0.3709291717
510	0.3708945101
511	0.3708427839
512	0.3707930714
513	0.3707817135
514	0.3707576767
515	0.3707320097
516	0.3706839952
517	0.3706545981
518	0.370626718
519	0.3705883865
520	0.3705527686
521	0.3705333557
522	0.3705124032
523	0.370492337
524	0.3704364717
525	0.3703846016
526	0.370353217
527	0.3703226012
528	0.3702980634
529	0.3702505188
530	0.3702113023
531	0.370169375
532	0.3701326829
533	0.3700814571
534	0.3699945347
535	0.3699649829
536	0.3699230029
537	0.3698757829
538	0.3698577962
539	0.3698288199
540	0.3697956902
541	0.3697643047
542	0.3697268233
543	0.3696752915
544	0.3696598455
545	0.3696425435
546	0.3696240141
547	0.3695674687
548	0.3695159513
549	0.369494978
550	0.3694657961
551	0.3694264697
552	0.3694089967
553	0.3693860057
554	0.3693647754
555	0.3693180764
556	0.3692625311
557	0.3692284537
558	0.3691692812
559	0.3691368552
560	0.3690800606
561	0.3690431749
562	0.3690206897
563	0.3689996941
564	0.3689624513
565	0.3689037899
566	0.3688711587
567	0.3688471234
568	0.3688187436
569	0.36877058
570	0.3687128004
571	0.3686578019
572	0.3686177421
573	0.3685785466
574	0.36854065
575	0.3685025937
576	0.3684394348
577	0.3684112465
578	0.3683870479
579	0.3683520462
580	0.3683081238
581	0.368268296
582	0.3682551128
583	0.3682281884
584	0.3681915992
585	0.3681552091
586	0.3681232603
587	0.3680918385
588	0.3680618444
589	0.3680066015
590	0.3679837439
591	0.3679254801
592	0.3679085774
593	0.3678736801
594	0.367818138
595	0.36779125
596	0.3677666972
597	0.367729173
598	0.3677022505
599	0.3676452489
600	0.3676096512
601	0.3675750474
602	0.3675441079
603	0.3675039797
604	0.3674797959
605	0.3674495262
606	0.3674287071
607	0.3673761661
608	0.3673700748
609	0.3673429888
610	0.3672951927
611	0.3672427715
612	0.3672057224
613	0.3671779997
614	0.3671516812
615	0.3670848102
616	0.3670705999
617	0.3670472118
618	0.3670118334
619	0.366989313
620	0.3669397765
621	0.3669078592
622	0.3668903608
623	0.3668652367
624	0.3668322821
625	0.3667757833
626	0.366760776
627	0.3667158209
628	0.3666935605
629	0.3666717568
630	0.3666448766
631	0.3665969153
632	0.3665543096
633	0.3665247292
634	0.3664947745
635	0.3664535403
636	0.36643562
637	0.3664076751
638	0.3663856155
639	0.3663411639
640	0.366303888
641	0.3662727831
642	0.3662450824
643	0.3662026868
644	0.3661751337
645	0.3661526898
646	0.3661301134
647	0.3660716926
648	0.3660438769
649	0.3660032195
650	0.3659590877
651	0.365917129
652	0.3658872097
653	0.3658644529
654	0.3658280925
655	0.3657707708
656	0.3657346391
657	0.3657115465
658	0.3656618947
659	0.3656256163
660	0.3655937388
661	0.3655718573
662	0.3655514613
663	0.3655018209
664	0.3654705098
665	0.3654532652
666	0.3654261348
667	0.3654062451
668	0.3653723276
669	0.365352189
670	0.3653312591
671	0.3652851314
672	0.3652557212
673	0.3652235082
674	0.3651990339
675	0.3651766772
676	0.365148629
677	0.3651067964
678	0.3650780251
679	0.3650446333
680	0.3650287292
681	0.3649877758
682	0.3649564932
683	0.3649375043
684	0.3648975178
685	0.3648718135
686	0.3648508993
687	0.3648059961
688	0.3647816526
689	0.3647461199
690	0.364728034
691	0.3646733795
692	0.3646331323
693	0.3646133948
694	0.3645512046
695	0.364521922
696	0.3645066302
697	0.3644697258
698	0.3644364531
699	0.3644248537
700	0.3644058169
701	0.364372499
702	0.3643485224
703	0.3643166473
704	0.3642809075
705	0.3642323745
706	0.3642081886
707	0.3641737238
708	0.3641298753
709	0.3640960137
710	0.3640632179
711	0.3640408769
712	0.3640224456
713	0.3640003392
714	0.3639564364
715	0.3639332745
716	0.363899728
717	0.3638305205
718	0.3638043005
719	0.3637906864
720	0.3637586999
721	0.3637221982
722	0.3636891076
723	0.3636657715
724	0.3636314865
725	0.3635832517
726	0.3635540186
727	0.3635252231
728	0.3634846757
729	0.3634334624
730	0.3634138449
731	0.3633924473
732	0.3633545646
733	0.3633313141
734	0.363302097
735	0.3632705647
736	0.3632566571
737	0.3632200573
738	0.3631996381
739	0.3631693991
740	0.363136224
741	0.3631050726
742	0.3630606682
743	0.3630355594
744	0.3630025281
745	0.362970513
746	0.3629253846
747	0.362907614
748	0.3628658448
749	0.3628460681
750	0.362815589
751	0.3627670282
752	0.3627362639
753	0.3627152076
754	0.3626983047
755	0.3626732423
756	0.3626523079
757	0.3626259541
758	0.3625961709
759	0.3625634553
760	0.3625206985
761	0.3624827911
762	0.3624665368
763	0.3624188998
764	0.3623887018
765	0.3623527457
766	0.3623135528
767	0.362268809
768	0.3622429646
769	0.362220621
770	0.3621896021
771	0.3621432081
772	0.3621132436
773	0.3620750476
774	0.3620512075
775	0.362016703
776	0.3619821018
777	0.361927032
778	0.3618983833
779	0.3618664323
780	0.3618364634
781	0.3618002065
782	0.3617801863
783	0.361735523
784	0.3617227931
785	0.3616976504
786	0.3616585732
787	0.3616282766
788	0.3616022978
789	0.3615716925
790	0.3615361933
791	0.3615170984
792	0.361488169
793	0.3614453791
794	0.3614055953
795	0.36139363
796	0.3613659786
797	0.361344883
798	0.361289778
799	0.3612711228
800	0.3612473245
801	0.361212391
802	0.3611956138
803	0.3611730148
804	0.3611325073
805	0.3611040707
806	0.3610950929
807	0.3610609391
808	0.3610204252
809	0.3609945428
810	0.360948525
811	0.3609221758
812	0.3608888827
813	0.3608510481
814	0.3608325339
815	0.3608119652
816	0.3607908652
817	0.3607614466
818	0.3607463153
819	0.3607115256
820	0.3607007574
821	0.3606813511
822	0.3606605956
823	0.3606350631
824	0.3606237698
825	0.3605791421
826	0.3605589151
827	0.3605061522
828	0.3604799964
829	0.3604585035
830	0.3604290585
831	0.3604053862
832	0.3603876791
833	0.3603588066
834	0.3603460481
835	0.3603055236
836	0.3602904898
837	0.3602715068
838	0.360240335
839	0.360219496
840	0.3602020868
841	0.3601719253
842	0.3601380733
843	0.3600999115
844	0.3600745639
845	0.3600462396
846	0.3600126043
847	0.3599911979
848	0.3599463872
849	0.3599246042
850	0.3599034404
851	0.3598673648
852	0.359831945
853	0.3598152077
854	0.3597858881
855	0.3597773213
856	0.3597529417
857	0.3597298729
858	0.3597063057
859	0.3596730932
860	0.3596348739
861	0.3596094343
862	0.3595752572
863	0.3595605474
864	0.3595466649
865	0.3595304037
866	0.359496423
867	0.3594831188
868	0.3594609769
869	0.3594495869
870	0.3594035911
871	0.3593850695
872	0.3593721624
873	0.3593119028
874	0.3592853369
875	0.3592457017
876	0.3592030827
877	0.3591793949
878	0.359148558
879	0.3591233405
880	0.3590930178
881	0.3590782998
882	0.3590452409
883	0.359023365
884	0.3590037599
885	0.3589693258
886	0.3589284112
887	0.3589066583
888	0.3588692881
889	0.3588217169
890	0.3587801947
891	0.3587600483
892	0.3587275762
893	0.3586954237
894	0.3586659976
895	0.3586015876
896	0.3585794405
897	0.3585429328
898	0.3584885572
899	0.358470455
900	0.3584553946
901	0.3584298518
902	0.3584071971
903	0.3583889163
904	0.3583701293
905	0.3583494817
906	0.3583285853
