iter	Passed	Remaining
0	61	61450
1	64	32245
2	67	22499
3	70	17548
4	73	14606
5	76	12674
6	79	11245
7	82	10170
8	84	9346
9	87	8702
10	90	8151
11	93	7717
12	96	7332
13	99	7014
14	102	6715
15	105	6475
16	108	6253
17	110	6051
18	113	5862
19	116	5699
20	119	5548
21	121	5415
22	124	5298
23	127	5185
24	130	5083
25	133	4987
26	135	4891
27	138	4805
28	141	4737
29	144	4660
30	147	4596
31	149	4534
32	152	4474
33	155	4424
34	158	4370
35	161	4322
36	164	4272
37	167	4232
38	169	4181
39	172	4143
40	175	4108
41	178	4080
42	182	4051
43	184	4016
44	187	3982
45	191	3971
46	194	3937
47	197	3920
48	200	3899
49	204	3881
50	206	3851
51	209	3824
52	212	3800
53	216	3785
54	219	3773
55	222	3753
56	225	3733
57	228	3706
58	231	3687
59	234	3670
60	237	3653
61	240	3633
62	242	3609
63	245	3589
64	247	3566
65	251	3555
66	254	3543
67	257	3526
68	260	3509
69	262	3490
70	265	3469
71	268	3457
72	270	3440
73	273	3423
74	276	3414
75	279	3402
76	282	3385
77	285	3370
78	288	3363
79	291	3353
80	294	3340
81	297	3331
82	300	3318
83	303	3309
84	306	3299
85	309	3287
86	311	3272
87	314	3263
88	317	3251
89	320	3238
90	323	3227
91	325	3215
92	328	3206
93	335	3229
94	338	3229
95	341	3215
96	343	3201
97	346	3192
98	349	3183
99	352	3168
100	354	3156
101	357	3144
102	360	3136
103	363	3129
104	366	3120
105	368	3110
106	371	3101
107	374	3089
108	376	3080
109	379	3071
110	382	3062
111	385	3057
112	388	3049
113	391	3040
114	393	3029
115	396	3025
116	399	3015
117	403	3015
118	406	3008
119	408	2997
120	411	2991
121	414	2986
122	417	2975
123	420	2970
124	423	2962
125	425	2954
126	429	2949
127	431	2940
128	434	2935
129	437	2927
130	440	2922
131	443	2919
132	446	2911
133	449	2902
134	452	2897
135	454	2887
136	456	2878
137	459	2872
138	462	2866
139	465	2860
140	468	2855
141	471	2849
142	474	2841
143	477	2835
144	479	2826
145	482	2820
146	485	2815
147	487	2808
148	490	2803
149	493	2797
150	496	2791
151	499	2786
152	502	2779
153	504	2772
154	507	2768
155	510	2762
156	513	2755
157	516	2750
158	518	2744
159	521	2736
160	524	2733
161	527	2727
162	530	2723
163	533	2719
164	536	2715
165	540	2715
166	543	2712
167	547	2709
168	550	2706
169	553	2702
170	556	2698
171	559	2695
172	562	2690
173	565	2685
174	568	2680
175	572	2678
176	575	2675
177	578	2673
178	582	2670
179	584	2664
180	587	2660
181	591	2657
182	594	2655
183	597	2650
184	600	2647
185	603	2641
186	606	2638
187	609	2632
188	612	2628
189	615	2623
190	617	2616
191	621	2614
192	623	2608
193	626	2602
194	629	2598
195	631	2592
196	634	2586
197	637	2582
198	640	2577
199	642	2571
200	645	2567
201	648	2562
202	651	2558
203	654	2554
204	657	2548
205	660	2544
206	662	2539
207	665	2535
208	669	2533
209	672	2528
210	675	2524
211	678	2521
212	680	2515
213	683	2511
214	686	2507
215	689	2503
216	692	2498
217	695	2494
218	698	2490
219	701	2485
220	703	2480
221	706	2475
222	709	2471
223	711	2465
