iter	Passed	Remaining
0	61	61271
1	62	31294
2	64	21320
3	65	16308
4	66	13320
5	68	11347
6	69	9886
7	71	8808
8	72	7968
9	74	7331
10	76	6858
11	78	6465
12	79	6066
13	81	5726
14	82	5438
15	84	5201
16	86	4980
17	87	4790
18	89	4607
19	90	4438
20	92	4312
21	94	4205
22	96	4092
23	97	3971
24	99	3861
25	100	3761
26	101	3666
27	102	3573
28	104	3486
29	105	3406
30	106	3332
31	108	3267
32	109	3217
33	110	3152
34	112	3097
35	113	3045
36	115	2993
37	116	2948
38	117	2906
39	119	2861
40	120	2816
41	121	2777
42	123	2739
43	124	2701
44	126	2674
45	127	2637
46	128	2607
47	129	2577
48	131	2551
49	132	2521
50	133	2492
51	135	2463
52	136	2441
53	137	2416
54	139	2392
55	140	2374
56	142	2356
57	143	2337
58	145	2314
59	146	2294
60	147	2274
61	149	2256
62	150	2240
63	152	2225
64	153	2208
65	155	2194
66	156	2184
67	158	2172
68	159	2156
69	161	2139
70	162	2128
71	164	2114
72	165	2100
73	166	2084
74	167	2069
75	169	2058
76	170	2048
77	172	2035
78	174	2033
79	175	2023
80	177	2012
81	178	2000
82	179	1988
83	181	1977
84	182	1966
85	184	1956
86	185	1944
87	186	1932
88	187	1923
89	189	1920
90	191	1910
91	192	1899
92	193	1891
93	195	1883
94	196	1875
95	198	1866
96	199	1857
97	201	1850
98	202	1842
99	203	1834
100	205	1829
101	206	1820
102	208	1811
103	209	1802
104	210	1795
105	212	1788
106	213	1780
107	214	1772
108	215	1764
109	217	1758
110	218	1753
111	220	1748
112	221	1742
113	223	1735
114	224	1728
115	225	1720
116	227	1713
117	228	1707
118	229	1700
119	231	1694
120	232	1687
121	233	1681
122	235	1676
123	236	1672
124	238	1666
125	239	1659
126	240	1653
127	241	1648
128	243	1641
129	244	1635
130	246	1631
131	247	1628
132	249	1623
133	250	1617
134	251	1613
135	253	1613
136	255	1609
137	256	1603
138	258	1598
139	259	1594
140	260	1588
141	262	1583
142	263	1579
143	264	1574
144	266	1569
145	267	1566
146	269	1564
147	270	1559
148	272	1553
149	273	1548
150	274	1544
151	276	1540
152	277	1535
153	278	1530
154	279	1526
155	281	1522
156	282	1519
157	284	1516
158	286	1514
159	287	1509
160	288	1505
161	290	1500
162	291	1498
163	292	1493
164	294	1489
165	295	1484
166	296	1481
167	298	1478
168	300	1475
169	301	1473
170	303	1469
171	304	1465
172	305	1460
173	306	1456
174	308	1453
175	309	1449
176	310	1445
177	312	1441
178	313	1438
179	315	1438
180	317	1436
181	319	1435
182	321	1433
183	323	1436
184	326	1439
185	329	1442
186	336	1462
187	339	1464
188	341	1467
189	344	1469
190	350	1485
191	353	1486
192	355	1487
193	357	1486
194	359	1485
195	361	1484
196	364	1485
197	366	1482
198	367	1478
199	368	1474
200	370	1471
201	371	1467
202	372	1463
203	374	1459
204	375	1456
205	377	1453
206	378	1449
207	380	1450
208	382	1446
209	383	1442
210	384	1439
211	386	1434
212	387	1431
213	388	1427
214	389	1423
215	391	1420
216	392	1416
217	394	1413
218	395	1411
219	397	1409
220	399	1406
221	400	1403
222	401	1399
223	403	1396
224	404	1392
225	405	1388
226	406	1385
227	408	1382
228	409	1378
229	410	1375
230	412	1373
231	413	1369
232	414	1366
233	416	1362
234	417	1359
235	418	1355
236	420	1352
237	421	1348
238	422	1345
239	423	1341
240	424	1338
241	426	1335
242	427	1333
243	429	1330
244	430	1327
245	432	1324
246	433	1320
247	434	1317
248	435	1314
249	437	1311
250	438	1308
251	439	1305
252	440	1301
253	442	1298
254	443	1295
255	444	1293
256	446	1290
257	447	1287
258	449	1284
259	450	1281
260	451	1278
261	453	1276
262	454	1273
263	455	1269
264	456	1267
265	458	1264
266	459	1262
267	461	1259
268	462	1256
269	463	1253
270	464	1250
271	466	1247
272	467	1244
273	468	1241
274	469	1238
275	471	1235
276	472	1232
277	473	1229
278	475	1228
279	476	1226
280	478	1224
281	479	1221
282	480	1218
283	482	1215
284	483	1212
285	484	1210
286	486	1207
287	487	1204
288	488	1201
289	489	1199
290	491	1197
291	493	1196
292	494	1193
293	496	1191
294	497	1189
295	498	1186
296	500	1183
297	501	1181
298	502	1178
299	504	1176
300	505	1173
301	506	1171
302	508	1169
303	509	1167
304	511	1164
305	512	1161
306	513	1159
307	515	1157
308	516	1155
309	517	1152
310	519	1150
311	520	1147
312	521	1145
313	523	1143
314	524	1141
315	526	1139
316	527	1136
317	529	1134
318	530	1132
319	531	1129
320	533	1127
321	534	1124
322	535	1123
323	537	1121
324	539	1119
325	540	1118
326	542	1116
327	543	1114
328	545	1111
329	546	1109
330	548	1107
331	549	1105
332	550	1102
333	551	1100
334	552	1097
335	554	1096
336	556	1094
337	557	1092
338	559	1091
339	561	1089
340	562	1086
341	563	1084
342	564	1081
343	566	1079
344	567	1076
345	568	1074
346	570	1072
347	571	1070
348	573	1068
349	574	1067
350	576	1065
351	577	1063
352	578	1060
353	579	1058
354	580	1055
355	581	1052
356	583	1050
357	584	1047
358	585	1045
359	587	1043
360	588	1042
361	590	1039
362	591	1037
363	592	1035
364	593	1033
365	595	1031
366	597	1030
367	598	1028
368	600	1026
369	601	1024
370	603	1023
371	605	1021
372	606	1019
373	607	1017
374	609	1015
375	610	1012
376	611	1010
377	612	1008
378	613	1005
379	615	1003
380	616	1001
381	617	998
382	619	997
383	621	996
384	622	994
385	623	992
386	624	989
387	626	988
388	627	986
389	629	984
390	630	981
391	631	979
392	632	977
393	634	975
394	635	973
395	637	972
396	638	970
397	639	968
398	641	965
399	642	963
400	643	961
401	645	959
402	646	957
403	647	955
404	648	953
405	650	951
406	651	949
407	653	947
408	654	945
409	655	943
410	657	941
411	658	939
412	659	937
413	661	935
414	662	934
415	663	932
416	665	929
417	666	928
418	667	925
419	669	924
420	671	923
421	672	921
422	674	919
423	675	917
424	677	916
425	679	914
426	680	913
427	682	911
428	683	910
429	686	909
430	687	907
431	688	905
432	690	904
433	692	902
434	693	901
435	694	898
436	696	896
437	697	894
438	699	893
439	700	892
440	701	889
441	702	887
442	704	885
